start_dt,match_type,rule,map_type,map,cost,result,medi_rating,num_member,num_ally_raid,num_ally_general,num_ally_support,num_ally_disconnect,num_enemy_raid,num_enemy_general,num_enemy_support,num_enemy_disconnect,ally_team,my_ms,my_category,new_rating,result_rival,score,assist,damage,diversion,defeat_cnt,loss_cnt,chase_assist
2021-08-27T22:10:20.799579,クランマッチ,エースマッチ,地上,熱帯砂漠,650,lose,A+,5,1,3,1,0,1,3,1,0,,Ζガンダム［HML］,支援,,lose,4195,195,88035,0.2057,4,4,4200
2021-08-27T22:22:33.762332,クランマッチ,エースマッチ,地上,熱帯砂漠,650,lose,A+,5,1,3,1,0,1,3,1,0,,Ζガンダム［HML］,支援,,lose,2895,2145,111192,0.2284,1,3,17500
2021-08-27T22:39:13.589396,クランマッチ,エースマッチ,地上,熱帯砂漠,650,lose,A+,5,1,3,1,0,0,3,1,1,,Ζガンダム［HML］,支援,,lose,2740,1365,100154,0.333,2,2,23500
2021-08-27T23:15:58.302735,レーティングマッチ,ベーシック,宇宙,廃墟コロニー,700,win,A,5,0,4,1,0,0,4,1,0,team_b,νガンダム,汎用,2469,lose,3530,630,99500,0.2407,4,4,29500
2021-08-27T23:27:37.094231,レーティングマッチ,ベーシック,宇宙,廃墟コロニー,700,win,A,5,1,3,1,0,0,4,1,0,team_b,νガンダム,汎用,2481,win,4498,840,111403,0.1629,4,2,10600
2021-08-27T23:41:57.326975,レーティングマッチ,ベーシック,地上,軍港,400,win,A+,6,1,4,1,0,1,4,1,0,team_b,ハイゴッグ,汎用,2603,win,1990,720,73011,0.2046,2,3,39100
2021-08-27T23:54:06.681780,レーティングマッチ,ベーシック,宇宙,廃墟コロニー,700,win,A,5,1,3,1,0,1,3,1,0,team_a,νガンダム,汎用,2498,win,5483,1224,159177,0.162,5,2,27400
2021-08-28T00:14:39.214555,レーティングマッチ,ベーシック,宇宙,暗礁宙域,450,lose,A-,5,1,3,1,0,1,3,1,0,team_b,高機動型ゲルググ（VG）,汎用,2488,win,2855,405,76936,0.2419,5,3,25300
2021-08-28T21:12:44.802781,レーティングマッチ,ベーシック,地上,廃墟都市,350,lose,A+,6,1,4,1,0,2,3,1,0,team_b,アクア・ジム,汎用,2587,lose,1040,315,60676,0.1696,2,4,8700
2021-08-28T21:27:04.234476,レーティングマッチ,ベーシック,地上,墜落跡地,550,win,A+,6,1,4,1,0,1,4,1,0,team_b,アッシマー,汎用,2598,win,2781,330,54392,0.1894,3,4,8400
2021-08-28T21:48:07.205526,レーティングマッチ,ベーシック,地上,廃墟都市,550,win,A+,6,2,3,1,0,1,4,1,0,team_b,フルアーマーガンダム7号機,支援,2606,lose,2056,330,40811,0.124,2,2,4100
2021-08-28T22:09:40.261761,レーティングマッチ,ベーシック,地上,軍港,500,win,A+,6,1,4,1,0,1,4,1,0,team_b,フルアーマーガンダム陸戦タイプ,汎用,2612,lose,2230,750,86782,0.1836,2,4,2600
2021-08-28T22:23:26.062567,レーティングマッチ,ベーシック,地上,無人都市,700,lose,A+,5,0,4,1,0,0,3,2,0,team_b,フルアーマー百式改,支援,2597,lose,1775,1050,85260,0.1457,1,2,15900
2021-08-28T22:35:31.796658,レーティングマッチ,ベーシック,地上,無人都市,700,win,A+,5,0,4,1,0,1,3,1,0,team_a,Ζガンダム［HML］,支援,2605,lose,2645,420,79517,0.2078,3,3,9600
2021-08-28T22:50:14.512440,レーティングマッチ,ベーシック,地上,軍港,500,win,A+,6,1,4,1,0,0,4,1,1,team_b,カプール,汎用,2616,win,3307,600,68913,0.1556,3,3,17000
2021-08-28T23:05:41.469390,レーティングマッチ,ベーシック,地上,軍港,500,lose,A+,6,1,4,1,0,1,4,1,0,team_b,ゾック,支援,2601,lose,1800,750,74774,0.1008,2,3,4300
2021-08-29T02:32:53.851402,レーティングマッチ,ベーシック,地上,軍港,400,lose,A+,5,1,3,1,0,1,3,1,0,team_a,アクア・ジム,汎用,2584,lose,2230,480,75910,0.1783,4,3,18400
